ID,NameSubtext_lang,Description_lang,AuraDescription_lang
33645,,"<Do Not Localize>

Performs an AOE pulse for nearby enemy units. It will cycle through the list attempting to find one that does not have a Combat Mark (31887) and boost their hate towards that target by 5000.",
33649,,"Increases attack power by $s1 for $d.","Increases attack power by $s1."
33650,,"Burns nearby enemies for $31303s1 fire damage every $t1 seconds.","Burns nearby enemies for $31303s1 fire damage every $t1 seconds."
33651,,"Burns nearby enemies for $s1 Fire damage periodically.",
33659,,,
33661,,"Reduces an enemy's armor by $s1% for $d.","Armor reduced by $s1%."
33665,,"Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets, inflicting greater Nature damage to each successive target.",
33667,,"Increases attack power by $s1 for $d.","Increases attack power by $s1."
33669,,,
33671,,"Shatters all enemies turned to stone, dealing damage to their allies based on proximity.",
33675,,,
33676,,,
33679,,"Summons a meteor from the Twisting Nether, causing $22699s1 Fire damage and stunning all enemy targets in the area for $20310d.  An Infernal rises from the crater, under the command of the caster for $20882d.  Once control is lost, the Infernal must be Subjugated to maintain control.  Can only be used outdoors.",
33686,,,Silenced.
33688,,"Strikes at an enemy, inflicting $s1 arcane damage.",
33689,,,
33707,,"Knocks nearby enemies back.",
33708,,,
33709,,"Charges an enemy, inflicting normal damage plus $s3 and stuns the opponent for $d.",
33710,,,
33712,,,
33713,,,
33714,,,
33716,,,
33725,,"Restores $o1 health over $d.  Must remain seated while eating.","Restores $/5;s1 health per second."
33727,"Rank 5",,
33728,,,
33729,,,
33732,,,
33733,,,
33735,,"Increases your attack speed by $s1%.  In addition, attacks strike an additional nearby opponent.  Lasts $d.","Attack speed increased by $s1%.  Weapon attacks strike an additional nearby opponent."
33737,,,
33738,,,
33740,,,
33741,,,
33742,,"Plants an explosive on Legion antennas.",
33744,,"Drops a super-powered bomb on top of Burning Legion transporters.",
33750,,,
33754,"Rank 4",,
33755,"Rank 3",,
33756,"Rank 2",,
33757,"Rank 1",,
33760,,,
33768,,,
33772,,"Restores $26260o1 health and $26261o2 mana over $26260d.  Must remain seated while eating.","Restores $/5;s1 health and $/5;s2 mana per second."
33773,,,"Restores $/5;s1 health per second."
33774,,,"Restores $/5;s2 mana per second."
33775,,"Inflicts Fire damage to nearby enemies.",
33778,"Rank 1",,
33780,,"Restores $s1 mana per 5 sec.",
33781,,"Inflicts normal damage plus $s1 to an enemy, stunning it for $d.",Stunned.
33782,,"Increases attack power by $s1.",
33784,,"Increases damage and healing done by magical spells and effects by up to $s1.",
33785,,"Increases damage and healing done by magical spells and effects by up to $s1.",
33787,,"Increases the time between an enemy's attacks by $s2% and its movement by $s1%, in addition to reducing its Strength by $s3%. Lasts $d.","Movement speed reduced by $s1%.
Time between attacks increased by $s2%.
Strength reduced by $s3%."
33788,,,
33789,,"Shouts at nearby enemies causing them to flee in fear for $d.",Feared.
33793,,"Inflicts Fire damage to an enemy.",
33794,,"Inflicts Fire damage to an enemy.",
33796,"Rank 1","Fire at the target with a ranged weapon.",
33798,,"Increases damage and healing done by magical spells and effects by up to $s1.",
33799,,,
33800,,,
33802,,,
33804,,"Summons a line of fire that hits enemies in the way.",
33805,"Rank 1","Fire at the target with a ranged weapon.",
33806,"Rank 1","Fire at the target with a ranged weapon.",
33808,"Rank 1","Fire at the target with a ranged weapon.",
33809,,,
33811,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1.
Attack speed increased by $s2%."
33813,,"Deals $s1 damage to the target with the second highest threat within melee range.",
33814,,,Stunned.
33816,,"Increases damage done by Fire spells and effects by up to $s1.",
33817,,"Increases damage done by Arcane spells and effects by up to $s1.",
33818,,"Increases damage done by Frost spells and effects by up to $s1.",
33819,,"Increases damage done by Shadow spells and effects by up to $s1.",
33820,,"Increases healing done by up to $s1 and damage done by up to $s2 for all magical spells and effects.",
33821,,"Increases healing done by up to $s1 and damage done by up to $s2 for all magical spells and effects.",
33822,"Rank 1","Fire at the target with a ranged weapon.",
33825,,,
33826,,,
33827,,,
33828,,"Heal self for $s1 damage.",
33832,,"Launches magical missiles at an enemy, inflicting Arcane damage each second for $d.",
33833,,"Launches magical missiles at an enemy, inflicting Arcane damage.",
33835,,,
33837,,,
33840,,"Inflicts normal damage plus $s1 to nearby enemies.",
33841,,"Hurls missiles of dark magic, inflicting Shadow damage to nearby enemies.",
33844,,"Entangles an enemy in roots, inflicting Nature damage every $t2 sec. and immobilizing it for up to $d.","Immobilized.
Nature damage inflicted every $t2 sec."
33846,,"Inflicts Shadow damage to nearby enemies.",
33848,,,
33849,,,"Use your tank action bar above your standard action bar to attack other tanks."
33854,,,
33860,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
33871,,"Bashes an enemy with the caster's shield, inflicting Physical damage and interrupting the spell being cast for $d.",
33898,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1.
Attack speed increased by $s2%."
33899,,,
33900,,,
33904,,,
33905,,,
33906,,,
33907,,"Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
33910,,"Calls upon Holy magic to heal an ally.",
33911,,"Hacks at an enemy's armor, reducing it by $s1 per Sunder Armor. Can be applied up to 5 times. Lasts $d.","Reduced armor."
33912,,"Inflicts Physical damage to an enemy every $t1 sec. for $d.","Physical damage inflicted every $t1 sec."
33913,,"Inflicts $o1 Fire damage to an enemy over $d, preventing it from casting spells and reducing the Physical damage it deals by $s3%.","$o1 Fire damage inflicted over $d.
Physical damage dealt is decreased by $s3%.
Silenced."
33914,,"Strikes at an enemy, inflicting weapon damage plus $s1.",
33915,,,
33918,,,
33923,,,
33924,,"Strikes fear in an enemy, causing it to flee in terror for $d. Only 1 target can be feared at a time.","Fleeing in fear."
33926,,"Restores $s1 mana.","$1s mana restored."
33928,,,
33930,,,
33937,,,Stunned.
33948,Passive,,
33949,,,
33950,Shapeshift,,
33954,,,
33955,,,
33956,"Rank 3","Regenerate mana equal to $s1% of your Intellect every 5 sec, even while casting.",
33958,,,"Attack speed increased by $s1%."
33959,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
33961,,"Raise your shield, reflecting the next spell cast on you.  Lasts $d.","Magical spells will be reflected."
33963,,,
33967,,"Inflicts $s1 Nature damage to nearby enemies, increasing the time between their attacks by $s3% and slowing their movement by $s2% for $d.","Time between attacks increased by $s3%.
Movement speed reduced by $s2%."
33970,,"Charges an enemy, inflicting $s3 damage to the target and any of its nearby allies, as well as knocking them all back.",
33971,,"Charges an enemy, inflicting $s3 damage to the target and any of its nearby allies, as well as knocking them all back.",
33972,,"Calls down a molten rain, burning all enemies in a selected area for $s1 Fire damage every $t1 sec. for $d.","$s1 Fire damage inflicted every $t1 sec."
33974,,"Hits an enemy with an anti power bolt that consumes up to $s1 mana. For each point of mana consumed by the bolt, the target takes $e1 damage.",
33975,,"Inflicts Fire damage to an enemy, then additional damage every $t2 sec. for $d.","Fire damage inflicted every $t2 sec."
33977,,,
33978,,,
33984,,"Summons $s1 $lSkeleton:Skeletons; to accompany the caster until dismissed.",
33985,,,
33988,,"Launches magical missiles at an enemy, inflicting Arcane damage each second for $d.",
33989,,"Launches magical missiles at an enemy, inflicting Arcane damage.",
34000,,"Increases damage and healing done by magical spells and effects by up to $s1 for $d.","Magical damage and healing dealt is increased by $s1"
34011,,,
34012,,,
34013,,,
34014,,"Inflicts normal damage plus $s1 to an enemy, knocking it back.",
34016,,,Stunned.
34018,,"Summons $s1 $lSkeleton:Skeletons; to accompany the caster until dismissed.",
34019,,,
34020,,"Increases an ally's Stamina by $s1 for $d.","Stamina increased by $s1."
34023,,,Stunned.
34024,,,Stunned.
34025,,,
34027,"Rank 1",,
34035,,"Increases an ally's attack speed by $s1% for $d.","Attack speed increased by $s1%."
34036,,"Drains $o1 health from an enemy over $d., transferring it to the caster.","$o1 health leeched over $d."
34039,,,Stunned.
34040,,"Increases damage and healing done by magical spells and effects by up to $s1.",
34061,,"Increases the block value of your shield by $s1.",
34062,,,
34067,,"Summons $s1 $lWolf:Wolves; to accompany the caster until dismissed.",
34069,,,
34072,,"Inflicts $s1 Fire damage to enemies in a cone in front of the caster.",
34076,,,
34082,,,
34083,,"Inflicts Fire damage to an enemy.",
34086,,"Increases an ally's attack speed by $s1% for $d.","Attack speed increased by $s1%."
34087,,"Silences an enemy, preventing it from casting spells for $d.","Cannot cast spells."
34090,Expert,,
34094,,,
34095,,"Throws a Proximity Bomb.",
34096,,,
34098,,,
34099,,"A strike that becomes active after parrying an opponent's attack.  This attack deals $s1% weapon damage and disarms the target for $19718d.",Disarmed.
34100,,"Continuously fires a volley of ammo at the target area, causing $s1 Arcane damage to enemy targets within $a1 yards every second for $d.",
34105,,,
34107,,"Steals $s1 life from target enemy.",
34108,,"Stuns an enemy for $d.",Stunned.
34109,,"Inflicts normal damage plus $s1 to nearby enemies and knocks them back.",
34111,,"Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.",
34115,,,
34119,"Rank 7","A slow casting spell that heals a single target for $s1.",
34126,,,
34130,,,
34133,,,
34135,,,"Increases resilience rating by $s1."
34137,,,
34143,"Rank 1",,
34149,,,
34150,,,
34154,,"Fires a cannon round at the nearest tonk in front of you within $a1 yards. Deals $s1 damage.",
34155,,"Fires a cannon round at the nearest tonk in front of you within $a1 yards. Deals $s1 damage.",
34156,,,
34158,,,
34159,,"Increases the Physical damage dealt by the caster by $s1% for $d.","Physical damage dealt is increased by $s1%."
35577,,,
35579,,,
34161,,"Increases the Physical damage dealt by the caster by $s1% for $d.","Physical damage dealt is increased by $s1%."
34163,,"Heals an ally for a fixed amount, then heals additional damage every $t2 sec. for $d.","Damage healed every $t2 sec."
34165,,"Teleports the caster 20 yd. forward unless something is in the way. Also frees the caster from any bonds.",Blinking...
34166,,,
34168,,,
34173,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1%.
Attack speed increased by $s2%."
34182,,,
34183,,"Calls down a blizzard that lasts $d.",
34184,,,
34185,,"Calls down a molten rain for $d.",
34187,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1%.
Attack speed increased by $s2%."
34189,,"Puts the caster in stealth mode. Lasts until cancelled.",Stealthed.
34200,,,
34206,,"Absorbs $s1 physical damage.  Lasts $d.","Absorbs $s1 physical damage."
34209,,,
34211,,,
34212,,,
34213,,"Inflicts Fire damage to an enemy.",
34214,,"Inflicts Frost damage to an enemy and reduces its movement speed for $d.","Reduced movement speed."
34215,,"Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets, inflicting greater Nature damage to each successive target.",
34216,,"Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.",
34217,,"Hurls a magical bolt at an enemy, inflicting Arcane damage.",
34218,,"Inflicts Holy damage to an enemy.",
34221,,,
34222,,,
34223,,,
34224,,,
34225,,,
34226,,,
34227,,,
34228,,,
34229,,,
34230,,"Increases damage done by Chain Lightning and Lightning Bolt by up to $s1.",
34232,,"Inflicts Holy damage to an enemy.",
34233,,,
34234,,"Inflicts Shadow damage to nearby enemies.",
34235,,,
34236,,,
34237,,"Summons Imps to accompany the caster until dismissed.",
34238,,"Summons Imps to accompany the caster until dismissed.",
34239,,"Drains $o1 health from an enemy over $d., transferring it to the caster.","$o1 health leeched over $d."
34240,,"A cresting wave of chaotic magic splashes over enemies in front of the caster, dealing $s1 Shadow damage.",
34247,,,
34249,,"Summons a meteor from the Twisting Nether, causing $22699s1 Fire damage and stunning all enemy targets in the area for $20310d.  An Infernal rises from the crater, under the command of the caster for $20882d.  Once control is lost, the Infernal must be Subjugated to maintain control.  Can only be used outdoors.",
34250,,"Increases an ally's attack speed by $s1% for $d.","Attack speed increased by $s1%."
34251,,"Summons Imps to accompany the caster until dismissed.",
34256,,"Inflicts Shadow damage to nearby enemies.",
34259,,"Strikes fear in an enemy, causing it to flee in terror for $d. Only 1 target can be feared at a time.","Fleeing in fear."
34263,,,
34267,,"Inflicts $s1 damage on enemies in a cone behind the caster, knocking them back.",
34268,,"Inflicts $s2 Nature damage and an additional $s1 damage every $t1 sec. to enemies in a cone in front of the caster. Lasts $d.","$s1 Nature damage inflicted every $t1 sec."
34269,,,
34270,,,
34271,,,
34272,,,
34273,,,
34274,,,
34275,,,
34276,,,
34277,,,
34278,,,
34279,,,
34280,,,
34281,,,
34282,,,
34283,,,
34284,,,
34285,,,
34286,,,
34287,,,
34288,,,
34289,,,
34290,,"Inflicts Nature damage to an enemy.",
34291,,"Restores ${$m2/5*30} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
34298,,"Adds $s1 damage to the next attack.",
34299,,,
34302,,,
34303,,,
34304,,,
34305,,,
34306,,,
34307,,,
34308,,,
34309,,,
34310,,,
34311,,,
34312,,,
34313,,,
34314,,,
34315,,,
34316,,,
34317,,,
34319,,,
34322,,"Lets out a psychic scream, causing up to $i nearby enemies to flee for $d.","Fleeing in fear."
34324,,,
34329,,"This generic aura self-triggers a different spell for each school of magic that lands on the wearer:

Fire:          34192
Frost:        34193
Arcane:    34194
Nature:    34195
Shadow:  34196
Holy:        34197
Physical:  34198

Use this spell ID# on the creature to perform the appropriate action.",
34341,,,
34342,,,
34343,,"Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
34344,,"Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.",
34345,,"Blasts an enemy with lightning, inflicting Nature damage.",
34346,,"Inflicts Holy damage to an enemy.",
34347,,"Inflicts Frost damage to an enemy and reduces its movement speed for $d.","Reduced movement speed."
34348,,"Inflicts Fire damage to an enemy.",
34349,,"Causes an explosion of arcane magic around the caster, causing $s1 Arcane damage to all targets within $a1 yards.",
34351,,"Bites an enemy, inflicting Physical damage.",
34353,,"Inflicts Frost damage to an enemy and reduces its movement speed for $d.","Reduced movement speed."
34354,,"Instantly burns an enemy, then inflicts additional Fire damage every $t2 sec. for $d.","Fire damage inflicted every $t2 sec."
34357,,"Stuns an enemy, but increases its armor by $s2% for $d.","Stunned.
Armor increased by $s2%."
34358,,,
34359,,,
34360,,"Calls down a molten rain, burning all enemies in a selected area for $s1 Fire damage every $t1 sec. for $d.","$s1 Fire damage inflicted every $t1 sec."
34361,,"Heals an ally for a fixed amount, then heals additional damage every $t2 sec. for $d.","Damage healed every $t2 sec."
34365,,,
34368,,"Summons $s1 $lWolf:Wolves; to accompany the caster until dismissed.",
34371,,,
34373,,,
34374,,,
34375,,,
34376,,,
34378,,"Creates a violent storm in the target area causing $s1 Nature damage to enemies every $t1 sec, and increasing the time between the attacks of enemies by $s2%.  Lasts $d.  Druid must channel to maintain the spell.","$s1 damage every $t1 seconds, and time between attacks increased by $s2%."
34380,,,
34381,,,
34383,,"Increases attack power by $s1 in Cat, Bear, Dire Bear, and Moonkin forms only.",
34386,,,
34388,,,
34389,,,
34390,,,
34391,,,
34394,,,
34395,,,
34396,,,
34397,,,
34398,,,
34399,,,
34401,,,
34402,,,
34403,,,
34404,,,
34409,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1.
Attack speed increased by $s2%."
34414,"Rank 2","Instantly attacks with both weapons for an additional $34414s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34415,"Rank 2","Instantly attacks with both weapons for an additional $34414s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34416,"Rank 3","Instantly attacks with both weapons for an additional $34416s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34417,"Rank 3","Instantly attacks with both weapons for an additional $34416s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34418,"Rank 4","Instantly attacks with both weapons for an additional $34419s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34419,"Rank 4","Instantly attacks with both weapons for an additional $34419s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
34423,,"Heals an ally every $t1 sec. for $d.","Damage healed every $t1 sec."
34424,,,
34425,,"Hurls a watery bolt at an enemy, inflicting $s1 Frost damage.",
34427,,,
34429,,,
34430,,,
34431,,,
34432,,,
34435,,"Calls down a molten rain, burning all enemies in a selected area for $s1 Fire damage every $t1 sec. for $d.","$s1 Fire damage inflicted every $t1 sec."
34436,,"Let forth a burst of energy knocking all nearby enemies back, dealing $s1 Shadow damage and removing all threat.",
34437,,"Causes the enemy target to run in horror for $d and causes $s1 Shadow damage.  The caster gains 100% of the damage caused in health.",Horrified.
34439,,"Shadow energy slowly destroys the target, causing $o1 damage over $d.  In addition, if the Unstable Affliction is dispelled it will cause $*9;s1 damage to the dispeller and silence them for $31117d.","$s1 Shadow damage every $t1 sec.  If dispelled, will cause $*9;s1 damage to the dispeller and silence them for $31117d."
34441,,"Utters a word of darkness, inflicting Shadow damage to an enemy every $t1 sec. for $d.","Shadow damage inflicted every $t1 sec."
34442,,,
34444,,,
34445,,,
34446,,"Launches magical missiles at an enemy, inflicting Arcane damage each second for $d.",
34447,,"Launches a magical missile at an enemy, inflicting Arcane damage.",
34457,"Rank 1",,
34461,,,
34463,,,
34495,,"Increases healing done by up to $s1 and damage done by up to $s2 for all magical spells and effects.",
34509,,"Increases attack power by $s1.",
34510,,"Stuns target for $d.",Stunned.
34514,Passive,"Increases your chance to resist Fear effects by $s1%.",
34515,Passive,"Increases your chance to resist Fear effects by $s1%.",
34516,,,
34517,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
34522,,,
34524,,"This generic aura self-triggers a different spell for each school of magic that lands on the wearer:

Fire:          34192
Frost:        34193
Arcane:    34194
Nature:    34195
Shadow:  34196
Holy:        34197
Physical:  34198

Use this spell ID# on the creature to perform the appropriate action.",
34525,,,
34528,,"Burns nearby enemies for Fire damage periodically.",
34529,,,
34530,,,
34533,,,
34534,,,
34535,,,
34536,,,
34537,,,
34538,,,
34539,,,
34540,,,
34541,,,
34542,,,
34543,,,
34544,,,
34545,,,
34546,,,
34547,,,
34548,,,
34569,,,
34570,,,
34574,,,
34576,,,
34577,,,
34578,,,
34581,,,
34582,,"This generic aura self-triggers a different spell for each school of magic that lands on the wearer:

Fire:          34192
Frost:        34193
Arcane:    34194
Nature:    34195
Shadow:  34196
Holy:        34197
Physical:  34198

Use this spell ID# on the creature to perform the appropriate action.",
34583,,"Shoots at an enemy, inflicting Physical damage.",
34588,,,
34590,,,
34592,,"Increases the block value of your shield by $s1.",
34593,,"Increases the block value of your shield by $s1.",
34597,,,"Spell effects increased by $s1."
34602,,,
35580,,,
35582,,,
34605,,"Teleports the caster 20 yd. forward unless something is in the way. Also frees the caster from any bonds.",Blinking...
34606,,,
34607,,,
34608,,,
34611,,"Increases damage and healing done by magical spells and effects by up to $s1.",
34612,,,
34613,,,
34614,,"Inflicts normal damage plus $s1 to an enemy, but only if attacking from behind.",
34615,,,"Casting speed slowed by $s1%."
34616,,"Inflicts $s1 Nature damage to an enemy every $t1 sec. for $d.","Nature damage inflicted every $t1 sec."
34617,,"Increases attack power by $s1 in Cat, Bear, Dire Bear, and Moonkin forms only.",
34623,,"Fel reaver approaching!","You hear a distant sound..."
34625,,"Inflicts $s1% weapon damage and leaves the target wounded, reducing the effectiveness of any healing by $s2% for $d.","Healing effects reduced by $s2%."
34629,,,
34632,,,
34635,,,
34640,,"Reduces an enemy's chance to critically hit with a melee attack by $s1%, and reduces its chance to critically hit with a spell attack by $s2%. Lasts $d.","Melee critical hit chance reduced by $s1%.
Spell critical hit chance reduced by $s2%."
34641,,"Throws a weapon at an enemy, inflicting Physical damage.",
34642,,"Invokes the malignant power of death and decay, inflicting Shadow damage to all enemies in a selected area for $d.",
34644,,"Strikes at an enemy, inflicting increased melee damage.",
34645,,"Charges an enemy, inflicting $s3 damage to the target and any of its nearby allies, as well as knocking them all back.",
34648,,,
34650,,,
34653,,"Inflicts Fire damage to an enemy.",
34654,,"Blinds the target, causing it to wander confused for up to $d.  Any damage caused will remove the effect.",Confused.
34656,,"Sends out a blast wave of magic.",
34657,Passive,,
34658,,,
34660,,,
34661,,,"Stunned.
$s3 health leeched every $t3 sec."
34662,,,
34663,,"Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
34664,,,
34672,,,"$s2 Fire damage inflicted every $t2 sec."
34673,,,
34681,,,
34682,,,
34683,,,
34684,,,
34685,,,
34686,,,
34687,,,
34688,,,
34690,,,
34691,,"Increases damage and healing done by magical spells and effects by up to $s1.",
34693,,"Increases healing done by up to $s1 and damage done by up to $s2 for all magical spells and effects.",
34694,,"Blinds the target, causing it to wander confused for up to $d.  Any damage caused will remove the effect.",Confused.
34695,,,
34696,,"Steals $s1 life from target enemy.",
34698,,,
34702,,,
34712,,,
34718,,,
34719,,"Causes an enemy to fixate upon the caster and increases the caster's attack speed by $s2% for $d. While the target is fixated upon the caster, the target is very reluctant to attack anything else.",
34720,,,
34725,,"Frost Nova Visual Only.",
34727,,,
34728,,"Summons a line of fire that hits enemies in the way.",
34729,,"Summons a line of fire that hits enemies in the way.",
34730,,,
34731,,,
34732,,,
34733,,,
34734,,,
34735,,,
34736,,,
34737,,,
34739,,,
34740,,,
34742,,,
34743,,,
34746,,,
34747,,"Increases damage and healing done by magical spells and effects by up to $s1 for $d.","Magical damage and healing dealt is increased by $s1."
34748,,,
34751,,"Increases attack power by $s1.",
34756,,,
34758,,,
34760,,"Increases damage and healing done by magical spells and effects by up to $s1.",
34761,,"Summons a seedling to accompany the caster for $d.",
34762,,"Summons a seedling to accompany the caster for $d.",
34763,,"Summons a seedling to accompany the caster for $d.",
34764,Passive,,
34765,,,
34766,Summon,,
34767,Summon,"Summons a Charger, which serves as a mount.  Speed is increased by $s2%.","Increases speed by $s2%."
34768,Summon,,
34769,Summon,"Summons a warhorse, which serves as a mount.  Speed is increased by $s2%.","Increases speed by $s2%."
34771,,,
34772,QASpell,"Increases damage and healing done by magical spells and effects by up to $s1.",
34773,,"Increases the block value of your shield by $s1.",
34776,,,
34778,,"Summons a line of fire that hits enemies in the way.",
34780,,"Shoots poison at an enemy, inflicting Nature damage, then additional damage every $t2 sec. for $d.","Nature damage inflicted every $t2 sec."
34782,,,"Movement slowed by $s1%."
34784,,"Run at high speed towards a party member, intercepting the next melee or ranged attack made against them.","The next melee or ranged attack made against you will be made against the intervening warrior instead."
34785,,"Hurls a magical bolt at an enemy, inflicting Arcane damage.",
34786,,,
34791,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
34793,,"Blasts an enemy with Arcane magic, inflicting normal damage plus $s2 and knocking the enemy back.",
34796,,"Increases damage and healing done by magical spells and effects by up to $s1.",
34797,,"Hurls a bolt of lightning at an enemy, inflicting Nature damage.",
34798,,"Hurls a bolt of lightning at an enemy, inflicting Nature damage.",
34801,,"Puts yourself to sleep for up to $d. Any damage caused will awaken the target. Only one target can be asleep at a time.",Asleep.
34802,,"Kicks an enemy for $s1 damage, interrupting the spell being cast for $d.",
34804,,,
34806,,,
34807,,,
34808,,,
34811,,"Strikes at an enemy, inflicting weapon damage plus $s1.",
34814,,,
34821,,"Attacks nearby enemies in a flurry of axes that lasts $d.","Attacking all nearby enemies."
34823,,,
34824,,,Stunned.
34826,,,
34840,,,
34842,,,
34844,,"Teleports the caster 20 yd. forward unless something is in the way. Also frees the caster from any bonds.",Blinking...
34845,,,
34846,,,
34847,,,
34848,,,
34849,,,
34850,,,
34851,,,
34852,,,"Marked for death..."
34858,,,
34871,,"Increases an ally's Stamina by $s1 for $d.","Stamina increased by $s1."
34872,,,
34874,,,
34875,,,
34879,,"Fires a volley of missiles at an enemy and its nearby allies, striking up to $x1 targets for normal damage plus $s1.",
34881,,"Protects the caster, increasing armor by $s1, Shadow resistance by $s2, and health regeneration for $d.","Armor increased by $s1.
Shadow resistance increased by $s2.
Increased health regeneration."
34883,,,
34885,,,Stunned.
34886,,"Hacks at the armor of an enemy and its nearby allies, affecting up to $x1 targets. A target's armor is reduced by $s1 per Sunder Armor. Can be applied up to 5 times. Lasts $d.","Armor reduced by $s1."
34887,,,
34890,"Rank 1",,
34891,,,
34892,,,
34893,,,
34894,,,
34902,,,
34903,,,
34904,,,
34905,,,
34907,,,
34913,"Rank 1",,
34920,,"Strikes at an enemy, inflicting increased melee damage.",
34924,,,
34925,,"Decreases the Magical damage dealt by the target by $s1 for $d.","Magical damage dealt is reduced by $s1."
34930,,"Hits an enemy with an anti-mana bolt. For each point of mana consumed by the bolt, the target takes $e1 damage.",
34931,,"Hits an enemy with an anti-mana bolt. For each point of mana consumed by the bolt, the target takes $e1 damage.",
34933,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
34934,,"Hurls missiles of dark magic, inflicting Shadow damage to nearby enemies.",
34940,,"Inflicts $s1 damage to an enemy and stuns it for up to $d. You will automatically stop attacking. Target must be facing you. Any damage received by the stunned target will revive it.",Incapacitated.
34941,,"Utters a word of darkness, inflicting Shadow damage to an enemy every $t1 sec. for $d.","Shadow damage inflicted every $t1 sec."
34942,,"Utters a word of darkness, inflicting Shadow damage to an enemy every $t1 sec. for $d.","Shadow damage inflicted every $t1 sec."
34943,,,
34944,,"Causes an explosion of holy light around the caster, causing $s1 Holy damage to all enemy targets within $a1 yards and healing all party members within $29514a2 yards for $29514s2.  These effects cause no threat.",
34945,,"Calls upon Holy magic to heal an ally.",
34947,,,
34951,,,
34952,"Rank 1",,
34953,"Rank 2",,
34955,,,
34956,,,
34957,,,
34958,,,
34959,,,
34960,,,
34961,,,
34968,,,
34969,,"Inflicts Nature damage to an enemy every $t1 sec. for $d.","Nature damage inflicted every $t1 sec."
34970,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1.
Attack speed increased by $s2%."
34971,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1.
Attack speed increased by $s2%."
34973,,"You become encased in a block of ice, protecting you from all physical attacks and spells for $d, but during that time you cannot attack, move or cast spells.","Immune to all attacks and spells.  Cannot attack, move or use spells."
34974,,"Fires a volley of missiles at an enemy and its nearby allies, striking up to $x1 targets for normal damage plus $s1.",
34975,,,
34977,,,
34978,,,
34979,,,
34980,,"Summons a ward that lasts $d. and periodically heals allies in an area around it.",
34981,,,
34982,,,
34983,,,
34991,,,
34996,,"Inflicts normal damage plus $s1 to an enemy, knocking it back.",
34999,,,
35008,,"Hurls a watery bolt at all nearby enemies within $a1, inflicting $s1 Frost damage.",
35010,,"Blasts an enemy with lightning, inflicting Nature damage.",
35011,,"Inflicts $s2 damage to an enemy, stunning it for $d.",Stunned.
35012,,"Launches a magical missile at an enemy, inflicting Arcane damage.",
35014,,"Sends out a blast wave of magic, inflicting Arcane damage to nearby enemies.",
35015,,"Instantly lashes nearby enemies with dark magic, inflicting Shadow damage.",
35016,,,
35017,,,
35018,,"Summons and dismisses a rideable Hawkstrider.","Increases speed by $s2%."
35020,,"Summons and dismisses a rideable Hawkstrider.","Increases speed by $s2%."
35022,,"Summons and dismisses a rideable Hawkstrider.","Increases speed by $s2%."
35025,,"Summons and dismisses a rideable Hawkstrider.  This is a very fast mount.","Increases speed by $s2%."
35027,,"Summons and dismisses a rideable Hawkstrider.  This is a very fast mount.","Increases speed by $s2%."
35028,,"Summons and dismisses a rideable Hawkstrider.  This is a very fast mount.","Increases speed by $s2%."
35031,,,
